LOC,ERROR
Mar-theray 34,No result or retry failed
Ch.-de-Bourg 21,No result or retry failed
av. d’E-•challens 68,No result or retry failed
"aven.d’Echallens 68', 'B. Terreaux 2",No result or retry failed
Font 15,No result or retry failed
"v.villa Fleurie B, Cour",No result or retry failed
"Val-Bieno, av. de la Sallaz.ma",No result or retry failed
av.Riant-Moni 2,No result or retry failed
F„av. de la Harpe 42,No result or retry failed
Bdde Grancy 47,No result or retry failed
"Grotte 10', 'Droguerie av.de la Gare 33",No result or retry failed
Marthcray 10,No result or retry failed
av. de laHarpe 61,No result or retry failed
"villaJuglary, ch. de l’Elysée",No result or retry failed
av. duLéman 20,No result or retry failed
Pontai-se 16,No result or retry failed
Pont 3,No result or retry failed
av. Ruchonnct 12,No result or retry failed
Mous-quines 18,No result or retry failed
"Vignes d’Argent 8, eh. de Renens",No result or retry failed
av. Ruchonnct 29,No result or retry failed
"FrancCastel, av. Verdeil 13', 'RT9420.B. pl. St-Francois 15",No result or retry failed
"ch.Vinet 15', 'At. St-Roch 28', 'T2841et Tour 41",No result or retry failed
avenue de laGare 22,No result or retry failed
"av. du Léman 36', 'Mag.Petit-Chêne 5",No result or retry failed
Buffet CFF,No result or retry failed
"LaClergère, Epinottes",No result or retry failed
av.de Merges 55,No result or retry failed
Maub orge t 2,No result or retry failed
aven.Recordon 5,No result or retry failed
"Va OrlésaB, Cour",No result or retry failed
Vignesd’Axgent 10,No result or retry failed
"Esc. du Marché 3', 'At. Deux-Marchés 19",No result or retry failed
"Grand Air,Venues",No result or retry failed
"LaPaisible Demeure, Cour",No result or retry failed
Valentin Où,No result or retry failed
Echelet-tes 4,No result or retry failed
av. du 24-Janvier 2,No result or retry failed
St-Rocli 10a,No result or retry failed
St-Piel’re 11,No result or retry failed
"Il Verbann, Montoie",No result or retry failed
"Roggen, Cour",No result or retry failed
"rentière, Terreaux', '3",No result or retry failed
",Escaliers-dn-Marclié 13",No result or retry failed
aven. Ru-chonnet 10,No result or retry failed
