LOC,ERROR
"r. SIRI erre, 2",No result or retry failed
"La Gaîté,av. Muntriund",No result or retry failed
"villa Charles, Montagibert",No result or retry failed
"maison Rcga-mey, La Sallaz.",No result or retry failed
"Pré-du-Mar-ché, 20",No result or retry failed
Pont Terminus.,No result or retry failed
"ruedu Pré, 27",No result or retry failed
"Ch.-de-Bourg,",No result or retry failed
square de Georgette,No result or retry failed
"Eche-lettes, 12",No result or retry failed
"villa Victoria, Öuehv.",No result or retry failed
"rue do la Pontaise, 10",No result or retry failed
"Tour, 14",No result or retry failed
"Clermont,Mousquines",No result or retry failed
LesTonnelles.,No result or retry failed
"Mayor,', 'villa Blanche, ro. d’Oucby",No result or retry failed
"LesLilas, ro. d'Echallcns"", 'Bourg,",No result or retry failed
",villa Alpina, Ouchy",No result or retry failed
Les Tonnelles.,No result or retry failed
", av. duLéman",No result or retry failed
"placeSt-l’rançois,",No result or retry failed
"placeSt-l'rançois, 4",No result or retry failed
"La Villa, Ouchy",No result or retry failed
"Fetit-St-.lean, 42",No result or retry failed
"Mau-t pas, 31",No result or retry failed
"Pon-laise, 10",No result or retry failed
"Ferme deRovéréaz, Chailly",No result or retry failed
"Maubor-get, 1",No result or retry failed
"Chalet-Fleuri,ch. de Villars",No result or retry failed
"ro. du Tunnel, 2",No result or retry failed
"GrandSt-Jean, 0",No result or retry failed
"placePalud, 22",No result or retry failed
"Ch.-de-Bourg, 29",No result or retry failed
"Florentine, ro. d’EchalIens",No result or retry failed
"avenuedu Simplon, 45",No result or retry failed
"Martherav, 3",No result or retry failed
"Simplon, IL",No result or retry failed
"Castel (l’Orient, ru. Pully",No result or retry failed
"avenue desAlpes, 1",No result or retry failed
"villa Mar-lowky, Montriond",No result or retry failed
"Martherav, 48",No result or retry failed
"Les Ruches, avenue du Servali",No result or retry failed
"rue duPont, 16",No result or retry failed
"Le Trèfle, Belle-vaux",No result or retry failed
"ro. Neuve, 3, Ouchy",No result or retry failed
"villa Etude, .Montbenon.",No result or retry failed
"Che-neau-de-Bourg, 36",No result or retry failed
"rueNeuve, 9",No result or retry failed
"Halle,18.",No result or retry failed
"Fahre, 6",No result or retry failed
"L'Ermitage, place du Flou",No result or retry failed
"Closdu Levant, Pontaise",No result or retry failed
"Chen.-de-liourg, 29",No result or retry failed
"rue llaldi-mand, 3",No result or retry failed
"av. Closelet, 3",No result or retry failed
Les Crottes.,No result or retry failed
"Bourg, Ili",No result or retry failed
La Villa.Ouchy,No result or retry failed
"ch. Re-nou, 4",No result or retry failed
Petite-Borde.,No result or retry failed
"cheminRenou, 12",No result or retry failed
"St-Martin, 4",No result or retry failed
"Grand St-.lean, 20",No result or retry failed
"Martlierav, 54",No result or retry failed
"Bois-de-Vauil, maison Lin",No result or retry failed
"villa St-Pierre, Derrière-Bourg', 'Bourg, 28",No result or retry failed
"L’Eclair, ro. de M orges",No result or retry failed
"Halle, 32",No result or retry failed
"Pléiades A, av.du Léman",No result or retry failed
"Mont-Charmant, La Sallaz.",No result or retry failed
"Les Appennins,ro. d'Echallens",No result or retry failed
"Gross-wenor, Trabandan",No result or retry failed
"Madeleine, 1.T.', 'Gare du Flou",No result or retry failed
"ruedu Pré, 10",No result or retry failed
"Chauderon, 30', 'R. T.', 'Clioisv",No result or retry failed
"ruePetit St-.lean, 10",No result or retry failed
"cheminRenou, 12",No result or retry failed
"Martlierav, 37",No result or retry failed
"Deux-Marchés, 26', 'Maupas,27. T.",No result or retry failed
R. T. 1244,No result or retry failed
"Lausanne, rue', 'du Midi, 2",No result or retry failed
"Bégonias,2,', 'Bellevaux.",No result or retry failed
"St-Pierre, 17",No result or retry failed
"av. de Yillamont, 15",No result or retry failed
"Chalet Fleuri, eli. de Villani",No result or retry failed
"Beau-Séjour, maison Læser.",No result or retry failed
"Pahud, 19",No result or retry failed
"La Fraisière,Bellevaux",No result or retry failed
"Bugnion, 16",No result or retry failed
"Haute Cumhc,ch. de Villars",No result or retry failed
"Côte-Fleurie, avenueDavel",No result or retry failed
"Petit Médoc, routede Morges",No result or retry failed
St-ltoch. I.,No result or retry failed
maison du Café Sauvabelin.,No result or retry failed
"ruede la Pontaise, 37",No result or retry failed
"Pont, 16",No result or retry failed
"St-Eticnne, 5",No result or retry failed
"Palmi, 14",No result or retry failed
"Grand-Pont, 12",No result or retry failed
"St-ltoch, 36",No result or retry failed
"route deht Solitude, 29",No result or retry failed
"ch. de Villani, I.",No result or retry failed
"avenue ile la Gare,",No result or retry failed
"LeCanada, Malley",No result or retry failed
"Clos des Ormes, Caroline",No result or retry failed
